fold,metric,comparison,delta
0,macro_f1,CONTEXT_MINUS_SMALL,-0.06453581104110828
1,macro_f1,CONTEXT_MINUS_SMALL,-0.08718576750868623
2,macro_f1,CONTEXT_MINUS_SMALL,-0.05980888933230902
3,macro_f1,CONTEXT_MINUS_SMALL,-0.04581400294641502
4,macro_f1,CONTEXT_MINUS_SMALL,-0.06257336475463449
0,macro_f1,SMALL_MINUS_CELLVIT,0.21409284843124088
1,macro_f1,SMALL_MINUS_CELLVIT,0.2633358732909787
2,macro_f1,SMALL_MINUS_CELLVIT,0.16420388871932473
3,macro_f1,SMALL_MINUS_CELLVIT,0.23028268501635696
4,macro_f1,SMALL_MINUS_CELLVIT,0.25979392299015985
0,macro_f1,CONTEXT_MINUS_CELLVIT,0.1495570373901326
1,macro_f1,CONTEXT_MINUS_CELLVIT,0.17615010578229245
2,macro_f1,CONTEXT_MINUS_CELLVIT,0.10439499938701571
3,macro_f1,CONTEXT_MINUS_CELLVIT,0.18446868206994194
4,macro_f1,CONTEXT_MINUS_CELLVIT,0.19722055823552537
0,macro_auprc,CONTEXT_MINUS_SMALL,-0.0629434443071264
1,macro_auprc,CONTEXT_MINUS_SMALL,-0.07391783353324877
2,macro_auprc,CONTEXT_MINUS_SMALL,-0.051141776578568804
3,macro_auprc,CONTEXT_MINUS_SMALL,-0.05422989553231378
4,macro_auprc,CONTEXT_MINUS_SMALL,-0.05809121750122265
0,macro_auprc,SMALL_MINUS_CELLVIT,0.19789122903605075
1,macro_auprc,SMALL_MINUS_CELLVIT,0.20980389750404305
2,macro_auprc,SMALL_MINUS_CELLVIT,0.1514829689632096
3,macro_auprc,SMALL_MINUS_CELLVIT,0.21018272769248675
4,macro_auprc,SMALL_MINUS_CELLVIT,0.2539770340883686
0,macro_auprc,CONTEXT_MINUS_CELLVIT,0.13494778472892435
1,macro_auprc,CONTEXT_MINUS_CELLVIT,0.13588606397079428
2,macro_auprc,CONTEXT_MINUS_CELLVIT,0.10034119238464079
3,macro_auprc,CONTEXT_MINUS_CELLVIT,0.15595283216017297
4,macro_auprc,CONTEXT_MINUS_CELLVIT,0.19588581658714596
