representation,fold,source,target,count,source_total,rate
CELLVIT_TOKEN_ALIGNED,0,Neutrophil,Myeloid,84,986,0.08519269776876268
CELLVIT_TOKEN_ALIGNED,0,Myeloid,Neutrophil,295,2477,0.11909568025837707
CELLVIT_TOKEN_ALIGNED,0,Neutrophil,T and B,265,986,0.268762677484787
CELLVIT_TOKEN_ALIGNED,0,T and B,Neutrophil,519,5741,0.09040236892527434
CELLVIT_TOKEN_ALIGNED,0,Neutrophil,Plasma cell,48,986,0.0486815415821501
CELLVIT_TOKEN_ALIGNED,0,Plasma cell,Neutrophil,78,1363,0.05722670579603815
CELLVIT_TOKEN_ALIGNED,1,Neutrophil,Myeloid,24,211,0.11374407582938388
CELLVIT_TOKEN_ALIGNED,1,Myeloid,Neutrophil,182,2498,0.07285828662930344
CELLVIT_TOKEN_ALIGNED,1,Neutrophil,T and B,24,211,0.11374407582938388
CELLVIT_TOKEN_ALIGNED,1,T and B,Neutrophil,447,4407,0.10142954390742001
CELLVIT_TOKEN_ALIGNED,1,Neutrophil,Plasma cell,48,211,0.22748815165876776
CELLVIT_TOKEN_ALIGNED,1,Plasma cell,Neutrophil,90,1658,0.054282267792521106
CELLVIT_TOKEN_ALIGNED,2,Neutrophil,Myeloid,319,1224,0.26062091503267976
CELLVIT_TOKEN_ALIGNED,2,Myeloid,Neutrophil,682,5312,0.12838855421686746
CELLVIT_TOKEN_ALIGNED,2,Neutrophil,T and B,232,1224,0.1895424836601307
CELLVIT_TOKEN_ALIGNED,2,T and B,Neutrophil,1020,5938,0.17177500842034354
CELLVIT_TOKEN_ALIGNED,2,Neutrophil,Plasma cell,46,1224,0.03758169934640523
CELLVIT_TOKEN_ALIGNED,2,Plasma cell,Neutrophil,189,1233,0.15328467153284672
CELLVIT_TOKEN_ALIGNED,3,Neutrophil,Myeloid,18,330,0.05454545454545454
CELLVIT_TOKEN_ALIGNED,3,Myeloid,Neutrophil,243,1107,0.21951219512195122
CELLVIT_TOKEN_ALIGNED,3,Neutrophil,T and B,62,330,0.18787878787878787
CELLVIT_TOKEN_ALIGNED,3,T and B,Neutrophil,313,1262,0.2480190174326466
CELLVIT_TOKEN_ALIGNED,3,Neutrophil,Plasma cell,50,330,0.15151515151515152
CELLVIT_TOKEN_ALIGNED,3,Plasma cell,Neutrophil,19,149,0.12751677852348994
CELLVIT_TOKEN_ALIGNED,4,Neutrophil,Myeloid,346,3388,0.10212514757969303
CELLVIT_TOKEN_ALIGNED,4,Myeloid,Neutrophil,984,4600,0.21391304347826087
CELLVIT_TOKEN_ALIGNED,4,Neutrophil,T and B,404,3388,0.1192443919716647
CELLVIT_TOKEN_ALIGNED,4,T and B,Neutrophil,866,3670,0.23596730245231606
CELLVIT_TOKEN_ALIGNED,4,Neutrophil,Plasma cell,361,3388,0.10655253837072019
CELLVIT_TOKEN_ALIGNED,4,Plasma cell,Neutrophil,446,4136,0.10783365570599614
PHIKON_V2_SMALL,0,Neutrophil,Myeloid,63,986,0.06389452332657201
PHIKON_V2_SMALL,0,Myeloid,Neutrophil,403,2477,0.1626968106580541
PHIKON_V2_SMALL,0,Neutrophil,T and B,205,986,0.2079107505070994
PHIKON_V2_SMALL,0,T and B,Neutrophil,514,5741,0.08953144051558962
PHIKON_V2_SMALL,0,Neutrophil,Plasma cell,46,986,0.04665314401622718
PHIKON_V2_SMALL,0,Plasma cell,Neutrophil,100,1363,0.07336757153338225
PHIKON_V2_SMALL,1,Neutrophil,Myeloid,25,211,0.11848341232227488
PHIKON_V2_SMALL,1,Myeloid,Neutrophil,151,2498,0.06044835868694956
PHIKON_V2_SMALL,1,Neutrophil,T and B,26,211,0.12322274881516587
PHIKON_V2_SMALL,1,T and B,Neutrophil,252,4407,0.05718175629680054
PHIKON_V2_SMALL,1,Neutrophil,Plasma cell,23,211,0.10900473933649289
PHIKON_V2_SMALL,1,Plasma cell,Neutrophil,111,1658,0.0669481302774427
PHIKON_V2_SMALL,2,Neutrophil,Myeloid,415,1224,0.33905228758169936
PHIKON_V2_SMALL,2,Myeloid,Neutrophil,286,5312,0.053840361445783136
PHIKON_V2_SMALL,2,Neutrophil,T and B,146,1224,0.119281045751634
