scale,fold,agreement,cohen_kappa,correct_correct,error_error,one_correct_one_wrong,neutrophil_tp_overlap,phikon_macro_f1,midnight_macro_f1
SMALL,0,0.5643198835274542,0.4645240183290674,0.32825499168053246,0.4333922628951747,0.23835274542429286,0.1744421906693712,0.33566286254909533,0.41301375746176106
SMALL,1,0.492356224217423,0.37087324841228264,0.2643775782577044,0.4481921863625334,0.2874302353797622,0.09004739336492891,0.3474859453250522,0.4108577098254623
SMALL,2,0.5069324438371579,0.38403669992061207,0.26668810030944823,0.4728931398947072,0.26041875979584456,0.08088235294117647,0.2977123779675209,0.3702716577959041
SMALL,3,0.5268096514745308,0.43469484212841225,0.3138218647602026,0.42940125111706884,0.25677688412272864,0.2696969696969697,0.338546634287973,0.4056838354215428
SMALL,4,0.5376770735442553,0.44833651628836213,0.29518638404510805,0.44213567227037,0.26267794368452196,0.30962219598583235,0.3635198440392175,0.4580600165802566
CONTEXT,0,0.591462146422629,0.47254964237922825,0.281198003327787,0.5256343594009983,0.19316763727121464,0.0537525354969574,0.27112705150798705,0.28175217811738074
CONTEXT,1,0.49848337782091723,0.3330704700387622,0.19898082989565638,0.5487139043921379,0.2523052657122058,0.047393364928909956,0.260300177816366,0.27285173660559414
CONTEXT,2,0.4028051279990355,0.2539941041099919,0.1798818470441667,0.522203914319013,0.2979142386368203,0.020424836601307193,0.2379034886352119,0.25381479782739014
CONTEXT,3,0.48495680667262436,0.36918355243893697,0.25007447125409593,0.4854036341971999,0.2645218945487042,0.06060606060606061,0.29273263134155797,0.279681830045828
CONTEXT,4,0.5723086561553723,0.47270529850193455,0.23671295812885038,0.5551494900978038,0.20813755177334586,0.26829988193624554,0.300946479284583,0.3149507136607809
