canonical_index,cell_id,batch,class_id
13,jalmadhl-1,s01A,1
28,dadfoddn-1,s01A,6
43,jamhbolo-1,s01A,6
59,jamjmkei-1,s01A,5
64,bjpgmjog-1,s01A,6
74,jamikeck-1,s01A,6
80,bjpgackm-1,s01A,6
93,bjpaeoee-1,s01A,5
112,jcdmcgom-1,s01A,5
115,jcehanje-1,s01A,5
117,bkacoenb-1,s01A,6
121,blfndodm-1,s01A,6
138,bkacddoj-1,s01A,0
157,bldgkckb-1,s01A,6
170,oefcikko-1,s01A,3
171,inonbdjk-1,s01A,2
186,inpebhmg-1,s01A,1
193,ioihailp-1,s01A,1
199,ioinhdpo-1,s01A,2
206,ioimipoi-1,s01A,6
227,iojejndb-1,s01A,1
228,iojempbo-1,s01A,5
231,iojgldoi-1,s01A,0
238,iojkdbio-1,s01A,4
239,iojkhcdm-1,s01A,1
240,iojkhcnd-1,s01A,4
241,iojkhlcj-1,s01A,6
253,daebmoho-1,s01A,6
264,daeallmp-1,s01A,6
301,janboihi-1,s01A,2
319,jalkehbh-1,s01A,0
321,jalmogcf-1,s01A,0
325,jamihaej-1,s01A,2
342,janemnfh-1,s01A,0
345,janfdgmc-1,s01A,2
354,bjokmdnk-1,s01A,0
356,bjokncil-1,s01A,5
357,bjoknihn-1,s01A,4
368,jalokdao-1,s01A,1
369,jalolehl-1,s01A,1
377,jamagfkm-1,s01A,2
381,jamdpmjo-1,s01A,1
386,bjolcgop-1,s01A,6
389,bjpiifcl-1,s01A,6
395,bjpkombe-1,s01A,6
415,bjpglmod-1,s01A,6
432,jagobhhp-1,s01A,0
448,bjoockom-1,s01A,3
451,bjphccnd-1,s01A,6
455,jahbdail-1,s01A,1
457,jahdfhdk-1,s01A,2
465,jahgpjbo-1,s01A,2
479,jaheokop-1,s01A,2
481,jambbepe-1,s01A,0
496,jcfdfhfa-1,s01A,5
499,jcffmjne-1,s01A,0
506,jcfhffba-1,s01A,1
523,blgakach-1,s01A,6
529,blgmjplo-1,s01A,0
537,jcekahaf-1,s01A,0
550,jcfekeld-1,s01A,0
598,jcfbchdh-1,s01A,2
599,jcfbdjfe-1,s01A,2
605,comjkcee-1,s01A,6
616,inpfgdng-1,s01A,6
620,inplieec-1,s01A,5
621,inplijol-1,s01A,0
623,confcddp-1,s01A,4
631,dabafkgn-1,s01A,0
636,iokaidca-1,s01A,0
652,iokainlo-1,s01A,0
661,iokopnnl-1,s01A,0
665,dabccgbb-1,s01A,6
676,iolbnhjm-1,s01A,1
