representation,fold,class_id,class_name,precision,recall,f1,auroc,auprc,support
CELLVIT_TOKEN_ALIGNED,0,0,Endothelial,0.2822061191626409,0.2933054393305439,0.2876487484612228,0.7223165065022242,0.2637884619113314,2390
CELLVIT_TOKEN_ALIGNED,0,1,Mesenchymal,0.33092105263157895,0.29851632047477744,0.31388455538221527,0.6727182464333511,0.29989319919696045,3370
CELLVIT_TOKEN_ALIGNED,0,2,Myeloid,0.21938168846611178,0.14897052886556317,0.1774465015628757,0.6108167688240617,0.18737636542320824,2477
CELLVIT_TOKEN_ALIGNED,0,3,Neutrophil,0.1579937304075235,0.25557809330628806,0.195273149941883,0.6856303107030155,0.13302515499543438,986
CELLVIT_TOKEN_ALIGNED,0,4,Plasma cell,0.1988255033557047,0.17388114453411593,0.18551859099804305,0.6766499912729994,0.1383018553356395,1363
CELLVIT_TOKEN_ALIGNED,0,5,T and B,0.5969768712438536,0.570980665389305,0.5836894586894587,0.816562709795718,0.61870799149394,5741
CELLVIT_TOKEN_ALIGNED,0,6,Tumor,0.6107257203842049,0.7879518072289157,0.6881106267849091,0.9350451671502397,0.741062901132474,2905
CELLVIT_TOKEN_ALIGNED,1,0,Endothelial,0.35514277793179927,0.4785207321628689,0.40770210057288353,0.743493789551293,0.3717849061467501,2677
CELLVIT_TOKEN_ALIGNED,1,1,Mesenchymal,0.3923430321592649,0.3076368876080692,0.3448647193431148,0.6551472325405141,0.38929615790683936,4164
CELLVIT_TOKEN_ALIGNED,1,2,Myeloid,0.19676945668135096,0.10728582866293035,0.13886010362694304,0.5785532186653084,0.1881760675628386,2498
CELLVIT_TOKEN_ALIGNED,1,3,Neutrophil,0.03780718336483932,0.1895734597156398,0.06304176516942474,0.6501616523517716,0.03737470044424879,211
CELLVIT_TOKEN_ALIGNED,1,4,Plasma cell,0.2275189599133261,0.5066344993968637,0.31401869158878504,0.7402738879974329,0.2503683825717468,1658
CELLVIT_TOKEN_ALIGNED,1,5,T and B,0.568986568986569,0.31722260040844114,0.4073426573426574,0.7457131071765339,0.5122268171826766,4407
CELLVIT_TOKEN_ALIGNED,1,6,Tumor,0.5215723873441994,0.6260069044879172,0.5690376569037657,0.9121005406636312,0.6154179982330924,869
CELLVIT_TOKEN_ALIGNED,2,0,Endothelial,0.32545454545454544,0.30154986522911054,0.3130465197621546,0.7201703638721771,0.28906508564832617,2968
CELLVIT_TOKEN_ALIGNED,2,1,Mesenchymal,0.2377898371978293,0.16245365689248398,0.19303163796555864,0.6669257448530538,0.2011975865408782,2967
CELLVIT_TOKEN_ALIGNED,2,2,Myeloid,0.29063846455150805,0.27936746987951805,0.2848915338836629,0.5928749567915523,0.273687956397463,5312
CELLVIT_TOKEN_ALIGNED,2,3,Neutrophil,0.11242973141786383,0.29411764705882354,0.16267510167193852,0.7007502361300693,0.10528615599502046,1224
CELLVIT_TOKEN_ALIGNED,2,4,Plasma cell,0.12671976828385229,0.14193025141930252,0.13389441469013005,0.6867849433050587,0.10281915132145251,1233
CELLVIT_TOKEN_ALIGNED,2,5,T and B,0.5152764306498545,0.35786460087571575,0.4223812363347247,0.7450278682481357,0.4737933484560192,5938
CELLVIT_TOKEN_ALIGNED,2,6,Tumor,0.5944700460829493,0.7137950772753291,0.6486908271198197,0.8823694901958179,0.6812322404485226,5241
CELLVIT_TOKEN_ALIGNED,3,0,Endothelial,0.4635063957863055,0.49398556535685645,0.4782608695652174,0.784011864435868,0.4939708558526589,1247
CELLVIT_TOKEN_ALIGNED,3,1,Mesenchymal,0.34074074074074073,0.1984469370146678,0.25081788440567065,0.6632163734061068,0.30178145754534447,1159
CELLVIT_TOKEN_ALIGNED,3,2,Myeloid,0.23787528868360278,0.0930442637759711,0.13376623376623378,0.5959583363742799,0.2092734490398567,1107
CELLVIT_TOKEN_ALIGNED,3,3,Neutrophil,0.11695376246600181,0.39090909090909093,0.18004187020237264,0.721000417710944,0.11237318469805442,330
CELLVIT_TOKEN_ALIGNED,3,4,Plasma cell,0.0700836820083682,0.44966442953020136,0.12126696832579185,0.7679978736128648,0.06693813910797627,149
CELLVIT_TOKEN_ALIGNED,3,5,T and B,0.46830265848670755,0.3629160063391442,0.4089285714285714,0.8119397147617647,0.45140311826245894,1262
CELLVIT_TOKEN_ALIGNED,3,6,Tumor,0.8008064516129032,0.6801369863013699,0.7355555555555555,0.9398000740466494,0.822563344903976,1460
CELLVIT_TOKEN_ALIGNED,4,0,Endothelial,0.32254047322540474,0.44688193246241065,0.3746641868154577,0.7422678441194097,0.3356492918477471,4057
CELLVIT_TOKEN_ALIGNED,4,1,Mesenchymal,0.3748238609675904,0.29954954954954954,0.3329856040058418,0.7154955357549576,0.3619420795700792,5328
CELLVIT_TOKEN_ALIGNED,4,2,Myeloid,0.25380304243394713,0.13782608695652174,0.17864187094956324,0.5947845095520286,0.21011034844818227,4600
CELLVIT_TOKEN_ALIGNED,4,3,Neutrophil,0.2864572914582917,0.42266824085005905,0.34148086324072974,0.7476613484014667,0.27549524178315166,3388
CELLVIT_TOKEN_ALIGNED,4,4,Plasma cell,0.3980603923297333,0.43665377176015474,0.4164648910411622,0.7738624075595242,0.3923402620910203,4136
CELLVIT_TOKEN_ALIGNED,4,5,T and B,0.3836146272855134,0.29727520435967303,0.3349708320540375,0.7662908008546341,0.34250845316645573,3670
CELLVIT_TOKEN_ALIGNED,4,6,Tumor,0.6177654755913438,0.6911599099099099,0.6524049960138187,0.9177797890527248,0.7123457947137497,3552
PHIKON_V2_SMALL,0,0,Endothelial,0.31448632668144866,0.35606694560669455,0.33398744113029827,0.7154489746941671,0.32605267460220844,2390
PHIKON_V2_SMALL,0,1,Mesenchymal,0.2887481371087928,0.22997032640949555,0.25602907168814004,0.6261870839252648,0.255035039593541,3370
PHIKON_V2_SMALL,0,2,Myeloid,0.23591549295774647,0.08114654824384336,0.1207569840793031,0.6099422114067145,0.18167635450006925,2477
PHIKON_V2_SMALL,0,3,Neutrophil,0.14182194616977226,0.2778904665314402,0.1877998629198081,0.6436727692017967,0.11493381777327757,986
PHIKON_V2_SMALL,0,4,Plasma cell,0.24085163007318697,0.26559060895084374,0.2526168876482903,0.7236674407987667,0.19506884664692226,1363
