fold,metric,comparison,delta
0,macro_f1,PHIKON_SMALL_MINUS_CELLVIT,-0.011704513425277119
1,macro_f1,PHIKON_SMALL_MINUS_CELLVIT,0.02679056038968447
2,macro_f1,PHIKON_SMALL_MINUS_CELLVIT,-0.010660660807906064
3,macro_f1,PHIKON_SMALL_MINUS_CELLVIT,0.008741212395199649
4,macro_f1,PHIKON_SMALL_MINUS_CELLVIT,-0.012424905120869745
0,macro_f1,PHIKON_CONTEXT_MINUS_CELLVIT,-0.0762403244663854
1,macro_f1,PHIKON_CONTEXT_MINUS_CELLVIT,-0.06039520711900176
2,macro_f1,PHIKON_CONTEXT_MINUS_CELLVIT,-0.07046955014021508
3,macro_f1,PHIKON_CONTEXT_MINUS_CELLVIT,-0.03707279055121537
4,macro_f1,PHIKON_CONTEXT_MINUS_CELLVIT,-0.07499826987550423
0,macro_f1,MIDNIGHT_SMALL_MINUS_CELLVIT,0.0656463814873886
1,macro_f1,MIDNIGHT_SMALL_MINUS_CELLVIT,0.09016232489009457
2,macro_f1,MIDNIGHT_SMALL_MINUS_CELLVIT,0.06189861902047711
3,macro_f1,MIDNIGHT_SMALL_MINUS_CELLVIT,0.07587841352876945
4,macro_f1,MIDNIGHT_SMALL_MINUS_CELLVIT,0.08211526742016934
0,macro_f1,MIDNIGHT_CONTEXT_MINUS_CELLVIT,-0.06561519785699171
1,macro_f1,MIDNIGHT_CONTEXT_MINUS_CELLVIT,-0.047843648329773614
2,macro_f1,MIDNIGHT_CONTEXT_MINUS_CELLVIT,-0.05455824094803685
3,macro_f1,MIDNIGHT_CONTEXT_MINUS_CELLVIT,-0.05012359184694537
4,macro_f1,MIDNIGHT_CONTEXT_MINUS_CELLVIT,-0.06099403549930632
0,macro_f1,PHIKON_CONTEXT_MINUS_SMALL,-0.06453581104110828
1,macro_f1,PHIKON_CONTEXT_MINUS_SMALL,-0.08718576750868623
2,macro_f1,PHIKON_CONTEXT_MINUS_SMALL,-0.05980888933230902
3,macro_f1,PHIKON_CONTEXT_MINUS_SMALL,-0.04581400294641502
4,macro_f1,PHIKON_CONTEXT_MINUS_SMALL,-0.06257336475463449
0,macro_f1,MIDNIGHT_CONTEXT_MINUS_SMALL,-0.13126157934438032
1,macro_f1,MIDNIGHT_CONTEXT_MINUS_SMALL,-0.13800597321986818
2,macro_f1,MIDNIGHT_CONTEXT_MINUS_SMALL,-0.11645685996851396
3,macro_f1,MIDNIGHT_CONTEXT_MINUS_SMALL,-0.12600200537571482
4,macro_f1,MIDNIGHT_CONTEXT_MINUS_SMALL,-0.14310930291947566
0,macro_f1,MIDNIGHT_SMALL_MINUS_PHIKON_SMALL,0.07735089491266572
1,macro_f1,MIDNIGHT_SMALL_MINUS_PHIKON_SMALL,0.0633717645004101
2,macro_f1,MIDNIGHT_SMALL_MINUS_PHIKON_SMALL,0.07255927982838317
3,macro_f1,MIDNIGHT_SMALL_MINUS_PHIKON_SMALL,0.0671372011335698
4,macro_f1,MIDNIGHT_SMALL_MINUS_PHIKON_SMALL,0.09454017254103908
0,macro_f1,MIDNIGHT_CONTEXT_MINUS_PHIKON_CONTEXT,0.010625126609393687
1,macro_f1,MIDNIGHT_CONTEXT_MINUS_PHIKON_CONTEXT,0.012551558789228145
2,macro_f1,MIDNIGHT_CONTEXT_MINUS_PHIKON_CONTEXT,0.01591130919217823
3,macro_f1,MIDNIGHT_CONTEXT_MINUS_PHIKON_CONTEXT,-0.013050801295729997
4,macro_f1,MIDNIGHT_CONTEXT_MINUS_PHIKON_CONTEXT,0.01400423437619791
0,macro_auprc,PHIKON_SMALL_MINUS_CELLVIT,-0.003891121114971363
1,macro_auprc,PHIKON_SMALL_MINUS_CELLVIT,0.017015518798280893
2,macro_auprc,PHIKON_SMALL_MINUS_CELLVIT,-0.013708884189446158
3,macro_auprc,PHIKON_SMALL_MINUS_CELLVIT,0.002856227237270026
4,macro_auprc,PHIKON_SMALL_MINUS_CELLVIT,0.005946514014942228
0,macro_auprc,PHIKON_CONTEXT_MINUS_CELLVIT,-0.06683456542209776
1,macro_auprc,PHIKON_CONTEXT_MINUS_CELLVIT,-0.056902314734967874
2,macro_auprc,PHIKON_CONTEXT_MINUS_CELLVIT,-0.06485066076801496
3,macro_auprc,PHIKON_CONTEXT_MINUS_CELLVIT,-0.05137366829504375
4,macro_auprc,PHIKON_CONTEXT_MINUS_CELLVIT,-0.05214470348628042
0,macro_auprc,MIDNIGHT_SMALL_MINUS_CELLVIT,0.0878679406329278
1,macro_auprc,MIDNIGHT_SMALL_MINUS_CELLVIT,0.10925587453945684
2,macro_auprc,MIDNIGHT_SMALL_MINUS_CELLVIT,0.07089432543819874
3,macro_auprc,MIDNIGHT_SMALL_MINUS_CELLVIT,0.07878815734208328
4,macro_auprc,MIDNIGHT_SMALL_MINUS_CELLVIT,0.10781611542265823
0,macro_auprc,MIDNIGHT_CONTEXT_MINUS_CELLVIT,-0.0446562855905851
1,macro_auprc,MIDNIGHT_CONTEXT_MINUS_CELLVIT,-0.026226721061342606
2,macro_auprc,MIDNIGHT_CONTEXT_MINUS_CELLVIT,-0.03925735325434593
3,macro_auprc,MIDNIGHT_CONTEXT_MINUS_CELLVIT,-0.034981306894505404
4,macro_auprc,MIDNIGHT_CONTEXT_MINUS_CELLVIT,-0.027670635165358004
0,macro_auprc,PHIKON_CONTEXT_MINUS_SMALL,-0.0629434443071264
1,macro_auprc,PHIKON_CONTEXT_MINUS_SMALL,-0.07391783353324877
2,macro_auprc,PHIKON_CONTEXT_MINUS_SMALL,-0.051141776578568804
3,macro_auprc,PHIKON_CONTEXT_MINUS_SMALL,-0.05422989553231378
4,macro_auprc,PHIKON_CONTEXT_MINUS_SMALL,-0.05809121750122265
0,macro_auprc,MIDNIGHT_CONTEXT_MINUS_SMALL,-0.1325242262235129
1,macro_auprc,MIDNIGHT_CONTEXT_MINUS_SMALL,-0.13548259560079945
2,macro_auprc,MIDNIGHT_CONTEXT_MINUS_SMALL,-0.11015167869254466
3,macro_auprc,MIDNIGHT_CONTEXT_MINUS_SMALL,-0.11376946423658868
4,macro_auprc,MIDNIGHT_CONTEXT_MINUS_SMALL,-0.13548675058801624
0,macro_auprc,MIDNIGHT_SMALL_MINUS_PHIKON_SMALL,0.09175906174789916
1,macro_auprc,MIDNIGHT_SMALL_MINUS_PHIKON_SMALL,0.09224035574117595
2,macro_auprc,MIDNIGHT_SMALL_MINUS_PHIKON_SMALL,0.08460320962764489
3,macro_auprc,MIDNIGHT_SMALL_MINUS_PHIKON_SMALL,0.07593193010481325
4,macro_auprc,MIDNIGHT_SMALL_MINUS_PHIKON_SMALL,0.101869601407716
0,macro_auprc,MIDNIGHT_CONTEXT_MINUS_PHIKON_CONTEXT,0.02217827983151266
1,macro_auprc,MIDNIGHT_CONTEXT_MINUS_PHIKON_CONTEXT,0.030675593673625268
2,macro_auprc,MIDNIGHT_CONTEXT_MINUS_PHIKON_CONTEXT,0.025593307513669034
3,macro_auprc,MIDNIGHT_CONTEXT_MINUS_PHIKON_CONTEXT,0.016392361400538347
4,macro_auprc,MIDNIGHT_CONTEXT_MINUS_PHIKON_CONTEXT,0.024474068320922415
