representation,fold,comparison,auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,precision,n_val
CELLVIT_TOKEN_ALIGNED,0,neutrophil_vs_tb,0.725432575831719,0.3615780123898341,0.6387533816931201,0.3729269385925594,0.4219066937119675,0.8556000696742728,0.334136546184739,6727
CELLVIT_TOKEN_ALIGNED,1,neutrophil_vs_tb,0.6518415876508398,0.1045660055622913,0.6019543444993263,0.1332445036642238,0.4739336492890995,0.729975039709553,0.0775193798449612,4618
CELLVIT_TOKEN_ALIGNED,2,neutrophil_vs_tb,0.6418690300864929,0.2515683682100252,0.5959894398985597,0.3345892991710625,0.5441176470588235,0.6478612327382958,0.2415669205658324,7162
CELLVIT_TOKEN_ALIGNED,3,neutrophil_vs_tb,0.6623853431301926,0.3078464440260254,0.629849205205782,0.4136585365853658,0.6424242424242425,0.6172741679873217,0.3050359712230215,1592
CELLVIT_TOKEN_ALIGNED,4,neutrophil_vs_tb,0.682318304064031,0.6272836262448618,0.6342114660172624,0.6344905447360993,0.6635182998819362,0.6049046321525886,0.6078961600865332,7058
PHIKON_V2_SMALL,0,neutrophil_vs_tb,0.7197309979496967,0.3541972112788104,0.6595316489730993,0.3935222672064777,0.4929006085192697,0.826162689426929,0.3274932614555256,6727
PHIKON_V2_SMALL,1,neutrophil_vs_tb,0.6457961644389527,0.1070248849112457,0.6033185034149677,0.1408668730650155,0.4312796208530806,0.775357385976855,0.0841813135985199,4618
PHIKON_V2_SMALL,2,neutrophil_vs_tb,0.6979468670818502,0.2942334663783352,0.6086421067809632,0.3493653974615898,0.4272875816993464,0.78999663186258,0.2954802259887005,7162
PHIKON_V2_SMALL,3,neutrophil_vs_tb,0.675298948278346,0.3517562529053759,0.6315684579551457,0.4155005382131324,0.5848484848484848,0.6782884310618067,0.3222036727879799,1592
PHIKON_V2_SMALL,4,neutrophil_vs_tb,0.6776361673996056,0.6400447490514434,0.6227647507310623,0.6446499339498017,0.7201889020070839,0.5253405994550409,0.583452893352463,7058
PHIKON_V2_CONTEXT,0,neutrophil_vs_tb,0.5723803339065325,0.22670151202457,0.5612486145525248,0.2540132200188857,0.2728194726166328,0.8496777564884167,0.2376325088339222,6727
PHIKON_V2_CONTEXT,1,neutrophil_vs_tb,0.6426333805438785,0.1011085769619424,0.5968827059922979,0.1558726673984632,0.3364928909952606,0.8572725209893352,0.1014285714285714,4618
PHIKON_V2_CONTEXT,2,neutrophil_vs_tb,0.6313412616646523,0.2468073932387623,0.5665591009054346,0.2868791697553743,0.3161764705882353,0.8169417312226339,0.262550881953867,7162
PHIKON_V2_CONTEXT,3,neutrophil_vs_tb,0.6054723142678768,0.2561918127332421,0.5812250876434711,0.3629112662013958,0.5515151515151515,0.6109350237717908,0.2704309063893016,1592
PHIKON_V2_CONTEXT,4,neutrophil_vs_tb,0.6847218826504187,0.6369112182075702,0.6265184221277855,0.672352869501645,0.814344746162928,0.438692098092643,0.5725254202116622,7058
MIDNIGHT12K_SMALL,0,neutrophil_vs_tb,0.7518777958480211,0.3582082551216721,0.6327217166440602,0.370406663400294,0.383367139959432,0.8820762933286884,0.3582938388625592,6727
MIDNIGHT12K_SMALL,1,neutrophil_vs_tb,0.6427925413791286,0.0974999173597748,0.60539942379476,0.1456953642384106,0.4170616113744075,0.7937372362151123,0.0882647943831494,4618
MIDNIGHT12K_SMALL,2,neutrophil_vs_tb,0.709293004840872,0.3040582514851485,0.6540200536260311,0.3957247132429614,0.6200980392156863,0.6879420680363759,0.2905819295558958,7162
MIDNIGHT12K_SMALL,3,neutrophil_vs_tb,0.7033568650050425,0.402236596952183,0.6442683571051242,0.4308755760368663,0.5666666666666667,0.7218700475435816,0.3475836431226766,1592
MIDNIGHT12K_SMALL,4,neutrophil_vs_tb,0.7299111465695562,0.6912400345713142,0.66787129763969,0.6751995595926232,0.724025974025974,0.611716621253406,0.6325425477050026,7058
MIDNIGHT12K_CONTEXT,0,neutrophil_vs_tb,0.6587925081077604,0.2508017101117549,0.5495562681583274,0.2152866242038216,0.1713995943204868,0.927712941996168,0.2893835616438356,6727
MIDNIGHT12K_CONTEXT,1,neutrophil_vs_tb,0.6800039144962183,0.0974588908115999,0.6147054933071794,0.170075349838536,0.3744075829383886,0.85500340367597,0.1100278551532033,4618
MIDNIGHT12K_CONTEXT,2,neutrophil_vs_tb,0.6363055495017138,0.2441064260643829,0.547838971111067,0.2476910159529806,0.2410130718954248,0.8546648703267093,0.2547495682210708,7162
MIDNIGHT12K_CONTEXT,3,neutrophil_vs_tb,0.6572588003649811,0.3210475936385368,0.6190198338375834,0.3989834815756035,0.4757575757575757,0.7622820919175911,0.3435448577680525,1592
MIDNIGHT12K_CONTEXT,4,neutrophil_vs_tb,0.6662814179875116,0.619896933007304,0.6265794646275201,0.647043224608857,0.7201889020070839,0.5329700272479564,0.587385652383245,7058
