representation,comparison,fold,auroc,auprc,balanced_accuracy,f1,sensitivity,specificity,precision,n_val
CELLVIT_TOKEN_ALIGNED,neutrophil_vs_myeloid,2.0,0.643949949893696,0.3506638631779769,0.6013737016726035,0.3963200995640369,0.5127937593882888,0.6899536439569182,0.3422331009777611,4426.6
CELLVIT_TOKEN_ALIGNED,neutrophil_vs_tb,2.0,0.6727693681526551,0.3305684912866076,0.6201515674628102,0.3777819645498622,0.5491801064732138,0.6911230284524064,0.31323099558101747,5431.4
MIDNIGHT12K_CONTEXT,neutrophil_vs_myeloid,2.0,0.5667438098720761,0.29088357456582414,0.5395498078637441,0.261764682917229,0.30273184818059506,0.776367767546893,0.3140873491537632,4426.6
MIDNIGHT12K_CONTEXT,neutrophil_vs_tb,2.0,0.6597284380916371,0.30666231072671574,0.5915400062083355,0.33581593923595976,0.396553345383792,0.786526667032879,0.31701829903388146,5431.4
MIDNIGHT12K_SMALL,neutrophil_vs_myeloid,2.0,0.6712105226436864,0.3801362869726059,0.6187579647368672,0.416045070804254,0.5087476669798587,0.7287682624938758,0.36457231680473956,4426.6
MIDNIGHT12K_SMALL,neutrophil_vs_tb,2.0,0.7074462707285241,0.37064861109801855,0.640856169761933,0.40358037530223106,0.5422438862484333,0.7394684532754329,0.34345335072585675,5431.4
PHIKON_V2_CONTEXT,neutrophil_vs_myeloid,2.0,0.5388921996725793,0.27129914895484164,0.5281360115306852,0.30569406037885993,0.352565524676238,0.7037064983851324,0.27334853093590933,4426.6
PHIKON_V2_CONTEXT,neutrophil_vs_tb,2.0,0.6273098346066718,0.2935441026332174,0.5864867862443027,0.34640583857515284,0.45826974637564166,0.7147038261129639,0.2889136577634649,5431.4
PHIKON_V2_SMALL,neutrophil_vs_myeloid,2.0,0.6174768100596657,0.338952055484065,0.5747821028021443,0.36416072366503016,0.466708484108303,0.6828557214959854,0.32024123542172195,4426.6
PHIKON_V2_SMALL,neutrophil_vs_tb,2.0,0.6832818290296903,0.34945131290504217,0.6251650935710477,0.38878100197920346,0.531301039585453,0.7190291475566423,0.3225622734366378,5431.4
