candidate,fold,true_class,predicted_class,count,rate_among_true
HIERARCHICAL,0,Endothelial,Endothelial,1248,0.5221757322175732
HIERARCHICAL,0,Endothelial,Mesenchymal,380,0.1589958158995816
HIERARCHICAL,0,Endothelial,Myeloid,69,0.02887029288702929
HIERARCHICAL,0,Endothelial,Neutrophil,46,0.019246861924686193
HIERARCHICAL,0,Endothelial,Plasma cell,47,0.019665271966527197
HIERARCHICAL,0,Endothelial,T and B,197,0.08242677824267783
HIERARCHICAL,0,Endothelial,Tumor,403,0.1686192468619247
HIERARCHICAL,0,Mesenchymal,Endothelial,574,0.17032640949554897
HIERARCHICAL,0,Mesenchymal,Mesenchymal,1224,0.3632047477744807
HIERARCHICAL,0,Mesenchymal,Myeloid,98,0.029080118694362018
HIERARCHICAL,0,Mesenchymal,Neutrophil,149,0.04421364985163205
HIERARCHICAL,0,Mesenchymal,Plasma cell,175,0.05192878338278932
HIERARCHICAL,0,Mesenchymal,T and B,648,0.19228486646884274
HIERARCHICAL,0,Mesenchymal,Tumor,502,0.14896142433234422
HIERARCHICAL,0,Myeloid,Endothelial,370,0.14937424303593055
HIERARCHICAL,0,Myeloid,Mesenchymal,499,0.20145337101332256
HIERARCHICAL,0,Myeloid,Myeloid,306,0.12353653613241825
HIERARCHICAL,0,Myeloid,Neutrophil,214,0.0863948324586193
HIERARCHICAL,0,Myeloid,Plasma cell,161,0.06499798142914816
HIERARCHICAL,0,Myeloid,T and B,493,0.1990310859911183
HIERARCHICAL,0,Myeloid,Tumor,434,0.17521194993944286
HIERARCHICAL,0,Neutrophil,Endothelial,90,0.09127789046653144
HIERARCHICAL,0,Neutrophil,Mesenchymal,140,0.14198782961460446
HIERARCHICAL,0,Neutrophil,Myeloid,29,0.029411764705882353
HIERARCHICAL,0,Neutrophil,Neutrophil,211,0.21399594320486814
HIERARCHICAL,0,Neutrophil,Plasma cell,72,0.07302231237322515
HIERARCHICAL,0,Neutrophil,T and B,231,0.23427991886409735
HIERARCHICAL,0,Neutrophil,Tumor,213,0.21602434077079108
HIERARCHICAL,0,Plasma cell,Endothelial,74,0.05429200293470286
HIERARCHICAL,0,Plasma cell,Mesenchymal,203,0.14893617021276595
HIERARCHICAL,0,Plasma cell,Myeloid,44,0.032281731474688186
HIERARCHICAL,0,Plasma cell,Neutrophil,43,0.03154805575935436
HIERARCHICAL,0,Plasma cell,Plasma cell,419,0.3074101247248716
HIERARCHICAL,0,Plasma cell,T and B,290,0.2127659574468085
HIERARCHICAL,0,Plasma cell,Tumor,290,0.2127659574468085
HIERARCHICAL,0,T and B,Endothelial,421,0.07333217209545376
HIERARCHICAL,0,T and B,Mesenchymal,804,0.14004528827730361
HIERARCHICAL,0,T and B,Myeloid,242,0.04215293502874064
HIERARCHICAL,0,T and B,Neutrophil,308,0.053649190036578996
HIERARCHICAL,0,T and B,Plasma cell,411,0.07159031527608431
HIERARCHICAL,0,T and B,T and B,3232,0.5629681240202056
HIERARCHICAL,0,T and B,Tumor,323,0.05626197526563317
HIERARCHICAL,0,Tumor,Endothelial,52,0.017900172117039585
HIERARCHICAL,0,Tumor,Mesenchymal,59,0.020309810671256454
HIERARCHICAL,0,Tumor,Myeloid,9,0.003098106712564544
HIERARCHICAL,0,Tumor,Neutrophil,12,0.004130808950086058
HIERARCHICAL,0,Tumor,Plasma cell,9,0.003098106712564544
HIERARCHICAL,0,Tumor,T and B,9,0.003098106712564544
HIERARCHICAL,0,Tumor,Tumor,2755,0.9483648881239243
HIERARCHICAL,1,Endothelial,Endothelial,1967,0.7347777362719462
HIERARCHICAL,1,Endothelial,Mesenchymal,467,0.17444901008591707
HIERARCHICAL,1,Endothelial,Myeloid,38,0.014194994396712738
HIERARCHICAL,1,Endothelial,Neutrophil,38,0.014194994396712738
HIERARCHICAL,1,Endothelial,Plasma cell,22,0.008218154650728428
HIERARCHICAL,1,Endothelial,T and B,65,0.024280911468061262
HIERARCHICAL,1,Endothelial,Tumor,80,0.029884198729921554
HIERARCHICAL,1,Mesenchymal,Endothelial,930,0.22334293948126802
HIERARCHICAL,1,Mesenchymal,Mesenchymal,2317,0.5564361191162344
HIERARCHICAL,1,Mesenchymal,Myeloid,170,0.040826128722382324
HIERARCHICAL,1,Mesenchymal,Neutrophil,105,0.02521613832853026
HIERARCHICAL,1,Mesenchymal,Plasma cell,158,0.037944284341978864
HIERARCHICAL,1,Mesenchymal,T and B,304,0.07300672430355427
HIERARCHICAL,1,Mesenchymal,Tumor,180,0.043227665706051875
HIERARCHICAL,1,Myeloid,Endothelial,452,0.18094475580464373
HIERARCHICAL,1,Myeloid,Mesenchymal,995,0.39831865492393914
HIERARCHICAL,1,Myeloid,Myeloid,286,0.11449159327461969
HIERARCHICAL,1,Myeloid,Neutrophil,105,0.042033626901521216
HIERARCHICAL,1,Myeloid,Plasma cell,227,0.09087269815852682
HIERARCHICAL,1,Myeloid,T and B,336,0.1345076060848679
HIERARCHICAL,1,Myeloid,Tumor,97,0.03883106485188151
HIERARCHICAL,1,Neutrophil,Endothelial,35,0.16587677725118483
HIERARCHICAL,1,Neutrophil,Mesenchymal,63,0.2985781990521327
HIERARCHICAL,1,Neutrophil,Myeloid,22,0.10426540284360189
HIERARCHICAL,1,Neutrophil,Neutrophil,38,0.18009478672985782
HIERARCHICAL,1,Neutrophil,Plasma cell,10,0.04739336492890995
HIERARCHICAL,1,Neutrophil,T and B,34,0.16113744075829384
HIERARCHICAL,1,Neutrophil,Tumor,9,0.04265402843601896
