candidate,fold,comparison,auroc,auprc,f1,balanced_accuracy,sensitivity,precision,specificity,n_val
SINGLE,0,neutrophil_vs_myeloid,0.6987911503888513,0.4862579288436395,0.5114035087719299,0.6521185576676622,0.5912778904665315,0.45054095826893353,0.7129592248687929,3463
SINGLE,0,neutrophil_vs_tb,0.7527534940481848,0.3612983670923035,0.3885441527446301,0.6452502779727896,0.4127789046653144,0.36699729486023447,0.8777216512802648,6727
SINGLE,1,neutrophil_vs_myeloid,0.6777725497933893,0.17486009342232128,0.24213075060532688,0.6338843586717715,0.47393364928909953,0.16260162601626016,0.7938350680544436,2709
SINGLE,1,neutrophil_vs_tb,0.6606626467801655,0.11323749608675701,0.14173228346456693,0.611270630416711,0.46919431279620855,0.08347386172006746,0.7533469480372135,4618
SINGLE,2,neutrophil_vs_myeloid,0.6969098821757618,0.3517687161272053,0.35002215330084185,0.6013034983069533,0.3227124183006536,0.3823814133591481,0.879894578313253,6536
SINGLE,2,neutrophil_vs_tb,0.6894592433358209,0.3118300365527578,0.36530729465824235,0.6232259491873543,0.5196078431372549,0.2816651904340124,0.7268440552374537,7162
SINGLE,3,neutrophil_vs_myeloid,0.6718649913771865,0.3511044007111538,0.42524916943521596,0.6188223700418822,0.5818181818181818,0.33507853403141363,0.6558265582655827,1437
SINGLE,3,neutrophil_vs_tb,0.6828506939441963,0.350095771827061,0.4229074889867841,0.6379772367094079,0.5818181818181818,0.33217993079584773,0.694136291600634,1592
SINGLE,4,neutrophil_vs_myeloid,0.6934077113597865,0.6126200569655793,0.5807027992852888,0.6379977927211129,0.5755608028335301,0.5859375,0.7004347826086956,7988
SINGLE,4,neutrophil_vs_tb,0.7026625467670798,0.6652291006356084,0.6400116737195388,0.6503452640992893,0.64728453364817,0.6329004329004329,0.6534059945504087,7058
TTA4,0,neutrophil_vs_myeloid,0.701538945315155,0.4872610398155899,0.4883720930232558,0.6397121264108501,0.5111561866125761,0.4675324675324675,0.7682680662091239,3463
TTA4,0,neutrophil_vs_tb,0.7586612328742439,0.37067141059917025,0.3781344032096289,0.6362208879371292,0.38235294117647056,0.3740079365079365,0.8900888346977879,6727
TTA4,1,neutrophil_vs_myeloid,0.6664402612137102,0.17315408326924286,0.2395348837209302,0.634788399439931,0.4881516587677725,0.15870570107858242,0.7814251401120896,2709
TTA4,1,neutrophil_vs_tb,0.666081643056017,0.1100718386426835,0.1388101983002833,0.6070856683195734,0.46445497630331756,0.08159866777685262,0.7497163603358293,4618
TTA4,2,neutrophil_vs_myeloid,0.6978473021989919,0.3597811186522494,0.35354838709677416,0.6029448677061185,0.33578431372549017,0.37329700272479566,0.870105421686747,6536
TTA4,2,neutrophil_vs_tb,0.6992888249383059,0.3228370371976462,0.37041719342604296,0.6253676333000923,0.47875816993464054,0.3020618556701031,0.7719770966655439,7162
TTA4,3,neutrophil_vs_myeloid,0.6836522405628096,0.3728223971772525,0.42045454545454547,0.6154430483698776,0.5606060606060606,0.33636363636363636,0.6702800361336947,1437
TTA4,3,neutrophil_vs_tb,0.7099337271286559,0.38219701326622046,0.4454649827784156,0.6564592037650675,0.5878787878787879,0.3585951940850277,0.7250396196513471,1592
TTA4,4,neutrophil_vs_myeloid,0.6991538871207844,0.6205261516683626,0.6002576212966938,0.6462137467275807,0.6189492325855962,0.5826618505140316,0.6734782608695652,7988
TTA4,4,neutrophil_vs_tb,0.7175243848299335,0.6792457218475237,0.6614128905150577,0.6604362568320954,0.6936245572609209,0.6320602474448628,0.6272479564032698,7058
TTA8,0,neutrophil_vs_myeloid,0.6998978840627893,0.4860669654730082,0.4920096852300242,0.642346095232324,0.5152129817444219,0.47080630213160335,0.7694792087202261,3463
TTA8,0,neutrophil_vs_tb,0.763507781648178,0.3776162847884394,0.3926258096661684,0.6451899489561755,0.3995943204868154,0.385896180215475,0.8907855774255357,6727
TTA8,1,neutrophil_vs_myeloid,0.6664326722041141,0.17321255291273097,0.23848878394332942,0.6322508243561674,0.4786729857819905,0.15880503144654087,0.7858286629303443,2709
TTA8,1,neutrophil_vs_tb,0.6651976551737487,0.11000800124239302,0.1409058231488138,0.6094682414986068,0.46445497630331756,0.08305084745762711,0.754481506693896,4618
TTA8,2,neutrophil_vs_myeloid,0.702354454583038,0.3651289299858099,0.3514787826832404,0.6016892324198756,0.3349673202614379,0.369702434625789,0.8684111445783133,6536
TTA8,2,neutrophil_vs_tb,0.7014527294020786,0.3258114918477342,0.3705329153605016,0.6256418448147194,0.48284313725490197,0.30061037639877924,0.7684405523745369,7162
TTA8,3,neutrophil_vs_myeloid,0.6892365388300348,0.37892574106638316,0.4269911504424779,0.6203375215570337,0.5848484848484848,0.3362369337979094,0.6558265582655827,1437
TTA8,3,neutrophil_vs_tb,0.7034745233635884,0.37861412408896605,0.4323040380047506,0.6450127263122509,0.5515151515151515,0.35546875,0.7385103011093502,1592
TTA8,4,neutrophil_vs_myeloid,0.6994940903957703,0.6195528320509958,0.6019722738316421,0.6474332683127149,0.6216056670602125,0.5835411471321695,0.6732608695652174,7988
TTA8,4,neutrophil_vs_tb,0.712502774659079,0.674608373185414,0.6589092948268611,0.6567577827176538,0.6936245572609209,0.6275033377837116,0.6198910081743869,7058
