candidate,fold,comparison,auroc,auprc,f1,balanced_accuracy,sensitivity,precision,specificity,n_val
MUSK_FOV8,0,neutrophil_vs_myeloid,0.6902304446342455,0.48861682919995814,0.5007045561296383,0.6471511536971783,0.5405679513184585,0.4663167104111986,0.7537343560758982,3463
MUSK_FOV8,0,neutrophil_vs_tb,0.7181665066725835,0.3366543312977885,0.3728952772073922,0.6435657469686215,0.460446247464503,0.31331953071083507,0.8266852464727399,6727
MUSK_FOV8,1,neutrophil_vs_myeloid,0.6593654070175572,0.21548786935823191,0.2183622828784119,0.6070496207392454,0.41706161137440756,0.14789915966386555,0.7970376301040832,2709
MUSK_FOV8,1,neutrophil_vs_tb,0.640939608141722,0.13406728764326648,0.1313535122786979,0.6108372397639688,0.5450236966824644,0.07467532467532467,0.6766507828454731,4618
MUSK_FOV8,2,neutrophil_vs_myeloid,0.6745609890542562,0.3317831074219287,0.3448,0.5965251939129066,0.352124183006536,0.3377742946708464,0.8409262048192772,6536
MUSK_FOV8,2,neutrophil_vs_tb,0.6261047573290011,0.2578765415939374,0.3152678847940539,0.5819564970930553,0.4158496732026144,0.2538653366583541,0.7480633209834961,7162
MUSK_FOV8,3,neutrophil_vs_myeloid,0.6281185842161452,0.32981014310887424,0.41576354679802957,0.6056048287755604,0.6393939393939394,0.30802919708029197,0.5718157181571816,1437
MUSK_FOV8,3,neutrophil_vs_tb,0.6946357393267061,0.37778388324390016,0.425629290617849,0.6399798299956778,0.5636363636363636,0.34191176470588236,0.716323296354992,1592
MUSK_FOV8,4,neutrophil_vs_myeloid,0.7110175299009291,0.6181493971330609,0.604178757980267,0.6526957035059802,0.614521841794569,0.5941780821917808,0.6908695652173913,7988
MUSK_FOV8,4,neutrophil_vs_tb,0.6871101805056475,0.6499606353971112,0.6350724230066095,0.6336436662173596,0.666469893742621,0.6065001343002955,0.6008174386920981,7058
MUSK_FOV12,0,neutrophil_vs_myeloid,0.6083649084764418,0.3827417371144529,0.41674418604651164,0.5826508543918452,0.4543610547667343,0.3848797250859107,0.7109406540169559,3463
MUSK_FOV12,0,neutrophil_vs_tb,0.7086921128511229,0.28687836548180456,0.32390991854336365,0.6049477566615424,0.34279918864097364,0.3069936421435059,0.8670963246821112,6727
MUSK_FOV12,1,neutrophil_vs_myeloid,0.6424580422631944,0.1761250153744987,0.2012903225806452,0.5875563009649426,0.3696682464454976,0.13829787234042554,0.8054443554843875,2709
MUSK_FOV12,1,neutrophil_vs_tb,0.6816417655238274,0.10881695791112729,0.13460317460317459,0.6084573551125578,0.5023696682464455,0.07771260997067449,0.7145450419786703,4618
MUSK_FOV12,2,neutrophil_vs_myeloid,0.6151061045653201,0.27709116831593333,0.2817806333180358,0.5644145208284117,0.2508169934640523,0.32146596858638743,0.8780120481927711,6536
MUSK_FOV12,2,neutrophil_vs_tb,0.6275350462403442,0.25513361440454374,0.31442463533225284,0.582256987784448,0.39624183006535946,0.2606125738850081,0.7682721455035365,7162
MUSK_FOV12,3,neutrophil_vs_myeloid,0.6068325531740166,0.3065630499631202,0.39200000000000007,0.5828775560482877,0.593939393939394,0.29253731343283584,0.5718157181571816,1437
MUSK_FOV12,3,neutrophil_vs_tb,0.658841185227873,0.32888926018346953,0.40674394099051636,0.6236445276857321,0.5848484848484848,0.31179321486268174,0.6624405705229794,1592
MUSK_FOV12,4,neutrophil_vs_myeloid,0.6608620579025717,0.5758320828043915,0.5643334301481265,0.6177256044350906,0.5734946871310508,0.5554602630074328,0.6619565217391304,7988
MUSK_FOV12,4,neutrophil_vs_tb,0.6802460358566378,0.6430210437038925,0.6367279259361615,0.6295331495356267,0.680047225501771,0.5985970381917382,0.5790190735694822,7058
MUSK_FOV16,0,neutrophil_vs_myeloid,0.6031583877965313,0.3762329036218141,0.39805352798053534,0.5741779748943833,0.4148073022312373,0.38260056127221703,0.7335486475575292,3463
MUSK_FOV16,0,neutrophil_vs_tb,0.733870246859623,0.31299985716916195,0.3615494978479197,0.6283670745956367,0.38336713995943206,0.3420814479638009,0.8733670092318412,6727
MUSK_FOV16,1,neutrophil_vs_myeloid,0.5947791408482236,0.12007011141128227,0.16806722689075626,0.5535091580373304,0.2843601895734597,0.11928429423459244,0.822658126501201,2709
MUSK_FOV16,1,neutrophil_vs_tb,0.6326643201197578,0.08650209437708234,0.13005551149881048,0.58448751824166,0.3886255924170616,0.07809523809523809,0.7803494440662583,4618
MUSK_FOV16,2,neutrophil_vs_myeloid,0.6031100504961021,0.25915314928466504,0.25502742230347347,0.5494939316087881,0.22794117647058823,0.2894190871369295,0.8710466867469879,6536
MUSK_FOV16,2,neutrophil_vs_tb,0.6436527808046987,0.258011042796093,0.33671641791044776,0.5988663906114821,0.46078431372549017,0.26528692380056446,0.7369484674974739,7162
MUSK_FOV16,3,neutrophil_vs_myeloid,0.6128931592346227,0.2898060904334659,0.39296187683284456,0.5823232323232324,0.6090909090909091,0.29004329004329005,0.5555555555555556,1437
